@RELATION training_tutorial1

    @ATTRIBUTE pacman_posx NUMERIC
    @ATTRIBUTE pacman_posy NUMERIC
    @ATTRIBUTE go_north {0,1}
    @ATTRIBUTE go_south {0,1}
    @ATTRIBUTE go_east {0,1}
    @ATTRIBUTE go_west {0,1}
    @ATTRIBUTE stop {0,1}
    @ATTRIBUTE living_ghosts_1 {1, 0}
    @ATTRIBUTE ghost_1_posx NUMERIC
    @ATTRIBUTE ghost_1_posy NUMERIC
    @ATTRIBUTE living_ghosts_2 {1, 0}
    @ATTRIBUTE ghost_2_posx NUMERIC
    @ATTRIBUTE ghost_2_posy NUMERIC
    @ATTRIBUTE living_ghosts_3 {1, 0}
    @ATTRIBUTE ghost_3_posx NUMERIC
    @ATTRIBUTE ghost_3_posy NUMERIC
    @ATTRIBUTE living_ghosts_4 {1, 0}
    @ATTRIBUTE ghost_4_posx NUMERIC
    @ATTRIBUTE ghost_4_posy NUMERIC
    @ATTRIBUTE distance_dot NUMERIC
    @ATTRIBUTE score NUMERIC
    @ATTRIBUTE move {North, South, East, West, Stop}
    @ATTRIBUTE next_score NUMERIC
    @ATTRIBUTE next_move {North, South, East, West, Stop}

@data
23,10,1,1,1,1,1,1,1,1,1,3,1,1,5,1,0,25,16,0,536,West,535,West
22,10,1,0,1,1,1,1,1,1,1,3,1,1,5,1,0,25,15,0,535,West,534,West
21,10,0,0,1,1,1,1,1,1,1,3,1,1,5,1,0,25,15,0,534,West,533,North
20,10,1,0,1,1,1,1,1,1,1,3,1,1,5,1,0,25,14,0,533,North,532,North
20,11,1,1,0,1,1,1,1,1,1,3,1,1,5,1,0,25,14,0,532,North,531,North
20,12,1,1,0,1,1,1,1,1,1,3,1,1,5,1,0,25,13,0,531,North,530,North
20,13,1,1,0,1,1,1,1,1,1,3,1,1,5,1,0,25,14,0,530,North,529,North
20,14,1,1,0,1,1,1,1,1,1,3,1,1,5,1,0,24,14,0,529,North,528,East
20,15,1,1,1,0,1,1,1,1,1,3,1,1,5,1,0,25,14,0,528,East,527,East
21,15,1,0,1,1,1,1,1,1,1,3,1,1,5,1,0,25,14,0,527,East,526,East
22,15,1,1,1,1,1,1,1,1,1,3,1,1,5,1,0,25,14,0,526,East,525,East
1,6,0,1,1,0,1,0,6,4,0,8,6,0,11,3,0,16,6,0,0,East,-1,East
2,6,0,0,1,1,1,0,6,3,0,8,6,0,11,3,0,16,6,0,-1,East,-2,East
3,6,0,0,1,1,1,0,6,3,0,9,6,0,11,4,0,15,6,0,-2,East,-3,East
4,6,0,0,1,1,1,0,7,3,0,10,6,0,10,4,0,16,6,0,-3,East,-4,East
5,6,0,0,1,1,1,0,7,4,0,11,6,0,9,4,0,15,6,0,-4,East,-5,East
6,6,0,0,1,1,1,0,7,5,0,11,6,0,9,4,0,16,6,0,-5,East,-6,South
7,6,0,1,1,1,1,0,7,4,0,12,6,0,9,4,0,16,5,0,-6,South,-7,South
7,5,1,1,0,0,1,0,6,4,0,13,6,0,8,4,0,16,5,0,-7,South,-8,East
7,4,1,1,1,1,1,0,5,4,0,12,6,0,8,4,0,16,4,0,-8,East,191,West
8,4,0,1,1,1,1,0,5,4,0,13,6,1,5,1,0,17,4,0,191,West,190,West
7,4,1,1,1,1,1,0,5,3,0,14,6,1,5,1,0,16,4,0,190,West,189,West
6,4,0,1,1,1,1,0,5,4,0,13,6,1,5,1,0,15,4,0,189,West,388,East
5,4,0,1,1,1,1,1,1,1,0,12,6,1,5,1,0,15,4,0,388,East,387,East
6,4,0,1,1,1,1,1,1,1,0,11,6,1,5,1,0,15,3,0,387,East,386,North
7,4,1,1,1,1,1,1,1,1,0,11,6,1,5,1,0,15,4,0,386,North,385,North
7,5,1,1,0,0,1,1,1,1,0,10,6,1,5,1,0,15,3,0,385,North,384,East
7,6,0,1,1,1,1,1,1,1,0,11,6,1,5,1,0,15,3,0,384,East,383,East
8,6,0,0,1,1,1,1,1,1,0,11,6,1,5,1,0,15,4,0,383,East,382,East
9,6,0,0,1,1,1,1,1,1,0,12,6,1,5,1,0,14,4,0,382,East,381,East
10,6,0,0,1,1,1,1,1,1,0,12,6,1,5,1,0,14,5,0,381,East,380,East
11,6,0,0,1,1,1,1,1,1,0,13,6,1,5,1,0,14,6,0,380,East,579,East
1,11,0,1,1,0,1,0,6,5,0,6,9,0,8,11,0,14,6,14,0,East,-1,East
2,11,0,0,1,1,1,0,6,5,0,6,9,0,8,11,0,14,6,13,-1,East,-2,East
3,11,0,0,1,1,1,0,6,5,0,6,9,0,8,11,0,14,6,12,-2,East,-3,East
4,11,0,0,1,1,1,0,6,5,0,6,9,0,8,11,0,14,6,11,-3,East,-4,East
5,11,0,1,1,1,1,0,6,5,0,6,9,0,8,11,0,14,6,10,-4,East,-5,East
6,11,0,1,1,1,1,0,6,5,0,6,9,0,8,11,0,14,6,9,-5,East,-6,East
7,11,0,0,1,1,1,0,6,5,0,6,9,0,8,11,0,14,6,8,-6,East,193,West
8,11,0,0,1,1,1,0,6,5,0,6,9,1,5,1,0,14,6,7,193,West,192,West
7,11,0,0,1,1,1,0,6,5,0,6,9,1,5,1,0,14,6,8,192,West,191,South
6,11,0,1,1,1,1,0,6,5,0,6,9,1,5,1,0,14,6,9,191,South,190,South
6,10,1,1,0,1,1,0,6,5,0,6,9,1,5,1,0,14,6,8,190,South,389,East
6,9,1,1,1,1,1,0,6,5,1,3,1,1,5,1,0,14,6,7,389,East,388,East
7,9,0,1,1,1,1,0,6,5,1,3,1,1,5,1,0,14,6,6,388,East,387,South
8,9,0,1,1,1,1,0,6,5,1,3,1,1,5,1,0,14,6,5,387,South,386,South
8,8,1,1,1,1,1,0,6,5,1,3,1,1,5,1,0,14,6,4,386,South,385,South
8,7,1,1,1,1,1,0,6,5,1,3,1,1,5,1,0,14,6,3,385,South,384,South
8,6,1,1,1,0,1,0,6,5,1,3,1,1,5,1,0,14,6,2,384,South,383,West
8,5,1,1,1,1,1,0,6,5,1,3,1,1,5,1,0,14,6,3,383,West,382,West
7,5,0,1,1,1,1,0,6,5,1,3,1,1,5,1,0,14,6,4,382,West,581,East
6,5,0,1,1,1,1,1,1,1,1,3,1,1,5,1,0,14,6,5,581,East,580,East
7,5,0,1,1,1,1,1,1,1,1,3,1,1,5,1,0,14,6,4,580,East,579,East
8,5,1,1,1,1,1,1,1,1,1,3,1,1,5,1,0,14,6,3,579,East,578,East
9,5,1,1,1,1,1,1,1,1,1,3,1,1,5,1,0,14,6,2,578,East,577,East
